0,1,2,3,4,5,6
0.991,0.8,1,0.9,0.941,1,1
0.95,1,0.8,1,0.953,1,1
0.866,0.6,0.8,0.5,0.816,0,-1
0.916,0.8,0.8,0.9,0.843,0,1
0.916,0.8,0.9,0.8,0.903,1,1
0.883,0.4,0.6,0.6,0.822,0,-1
0.933,0.6,0.6,0.8,0.868,1,1
0.85,0.8,0.5,0.4,0.794,1,-1
0.916,1,1,0.9,0.929,1,1
0.925,0.6,0.5,0.6,0.897,1,1
0.875,0.2,0.6,0.3,0.756,0,-1
0.791,0.2,0.3,0.3,0.77,0,-1
0.866,0.4,0.4,0.4,0.836,0,-1
0.866,0.8,1,1,0.909,0,1
0.916,0.8,0.7,0.8,0.841,1,-1
0.883,0.4,0.8,0.8,0.846,0,-1
0.9,0.6,0.9,0.7,0.82,0,-1
0.883,0.8,0.9,0.9,0.911,1,-1
0.95,0.6,0.6,0.6,0.909,0,-1
0.925,1,1,1,0.952,1,1
0.8,0.4,0.5,0.3,0.795,0,-1
0.916,0.4,0.7,0.6,0.852,1,-1
0.991,1,0.8,0.7,0.987,1,1
0.85,0.4,0.3,0.4,0.793,0,-1
0.825,0.6,0.5,0.4,0.851,1,-1
0.908,0.6,0.7,0.6,0.883,0,1
0.858,0.6,0.6,0.6,0.776,0,-1
0.941,1,0.8,1,0.932,1,1
0.916,0.6,0.7,0.7,0.883,1,1
0.858,0.6,0.7,0.4,0.774,0,-1
0.825,0.2,0.6,0.4,0.685,1,-1
0.9,0.4,0.5,0.6,0.883,0,-1
0.916,0.6,0.7,0.6,0.903,1,1
0.85,0.6,0.8,0.7,0.868,0,-1
0.966,0.8,1,0.9,0.952,1,1
0.966,1,1,1,0.945,1,1
0.833,0.4,0.7,0.6,0.828,0,-1
0.858,0.8,0.9,0.7,0.872,0,1
0.833,0.6,0.7,0.6,0.81,0,-1
0.883,0.4,0.5,0.4,0.849,0,-1
0.866,0.6,0.4,0.7,0.843,0,-1
0.85,0.8,1,1,0.883,1,1
0.883,0.6,0.6,0.6,0.83,0,-1
0.841,0.4,0.4,0.5,0.772,0,-1
0.883,0.6,0.9,0.7,0.848,0,-1
0.916,1,0.8,0.8,0.934,1,1
0.875,0.6,0.7,0.5,0.836,0,-1
0.816,0.6,0.5,0.9,0.836,1,1
0.933,0.8,0.8,0.8,0.907,1,1
0.925,0.6,0.7,0.8,0.89,1,1
0.866,0.6,0.7,0.9,0.84,1,1
0.891,0.6,0.8,0.6,0.877,0,-1
0.883,0.8,0.3,0.5,0.842,0,-1
0.825,0.8,0.6,0.7,0.787,0,-1
0.916,1,0.8,1,0.905,1,1
0.833,0.2,0.4,0.5,0.801,0,-1
0.875,0.6,0.7,0.8,0.86,0,-1
0.933,0.8,0.8,0.9,0.917,1,1
0.858,0.4,0.5,0.5,0.83,0,-1
0.983,1,0.9,0.8,0.926,1,1
0.891,0.8,0.9,0.8,0.871,1,1
0.966,0.6,0.7,0.8,0.921,1,1
0.841,0.4,0.5,0.4,0.792,0,-1
0.875,0.6,0.4,0.5,0.854,0,1
0.916,0.6,0.6,0.5,0.886,0,-1
0.866,0.4,0.7,0.7,0.795,1,-1
0.866,0.6,0.8,0.7,0.819,1,1
0.883,0.4,0.7,0.6,0.832,1,1
0.95,1,0.9,0.8,0.901,1,1
0.941,0.6,0.8,0.6,0.939,1,1
0.891,0.8,0.6,0.5,0.854,1,1
0.858,0.6,0.5,0.8,0.883,1,1
0.908,0.8,0.8,0.8,0.875,1,-1
0.833,0.6,0.8,1,0.87,1,1
0.966,0.8,0.9,0.9,0.951,1,1
0.925,0.8,0.9,0.8,0.908,1,1
0.916,0.4,0.8,0.7,0.862,0,-1
0.875,1,0.7,0.7,0.862,0,-1
0.983,1,1,1,0.942,1,1
1,0.8,1,1,0.957,1,1
0.916,0.6,0.7,0.8,0.862,0,1
0.883,0.8,0.5,0.6,0.853,0,-1
0.941,0.8,0.9,0.9,0.918,1,1
0.916,0.6,0.8,0.8,0.887,0,1
0.9,0.8,0.9,0.8,0.911,1,1
0.866,0.6,0.9,0.9,0.849,0,-1
0.95,1,0.9,1,0.926,1,1
0.95,0.6,0.6,0.6,0.918,1,1
0.808,0.4,0.4,0.6,0.726,0,-1
0.841,0.2,0.5,0.6,0.774,0,-1
0.858,0.4,0.6,0.7,0.855,0,-1
0.891,0.4,0.7,0.7,0.87,1,-1
0.908,1,0.9,0.7,0.887,0,1
0.85,0.6,0.5,0.5,0.843,0,-1
0.866,0.6,0.7,0.6,0.822,0,-1
0.825,0.6,0.4,0.5,0.772,0,-1
0.933,0.8,0.9,0.9,0.933,1,1
0.916,0.2,0.5,0.7,0.86,1,-1
0.933,0.2,0.3,0.6,0.872,1,1
0.9,0.6,0.7,0.7,0.828,0,-1
0.933,0.8,1,0.9,0.973,1,1
0.891,0.6,0.6,0.7,0.918,1,1
0.941,0.8,1,1,0.981,1,1
0.908,0.6,0.7,0.6,0.901,1,1
0.883,0.6,0.8,0.7,0.856,1,1
0.875,0.6,0.7,0.6,0.862,0,-1
0.825,0.2,0.4,0.4,0.73,0,-1
0.966,1,0.9,1,0.915,1,1
0.866,0.4,0.5,0.7,0.854,0,-1
0.85,0.6,0.7,0.5,0.823,0,-1
0.95,0.8,0.8,0.8,0.95,1,1
0.916,0.4,0.7,0.8,0.851,0,-1
0.916,0.8,0.9,0.8,0.922,1,1
0.916,1,1,0.8,0.917,1,1
0.866,0.4,0.9,0.8,0.853,0,-1
0.883,0.6,0.8,0.6,0.806,1,-1
0.866,0.4,0.5,0.3,0.785,0,-1
0.875,0.4,0.5,0.8,0.774,0,-1
0.9,1,1,0.7,0.92,1,1
0.875,0.4,0.4,0.5,0.851,0,-1
0.841,0.4,0.5,0.7,0.802,0,-1
0.858,0.4,0.5,0.6,0.842,0,-1
0.983,0.8,0.6,0.9,0.947,1,1
0.908,0.4,0.5,0.8,0.909,0,1
0.833,0.4,0.6,0.5,0.863,0,-1
1,0.8,1,1,0.973,1,1
0.875,0.4,0.6,0.6,0.851,1,-1
0.833,0.6,0.5,0.8,0.801,1,-1
0.825,0.4,0.2,0.4,0.803,0,-1
0.916,0.8,0.8,1,0.92,1,1
0.808,0.4,0.3,0.4,0.77,0,-1
0.85,0.6,0.6,0.6,0.833,0,1
0.983,1,0.9,1,0.96,1,1
0.825,0.4,0.6,0.4,0.828,0,-1
0.908,0.6,0.7,0.8,0.884,1,1
0.891,0.6,0.7,0.7,0.852,1,-1
0.841,0.6,0.8,0.6,0.826,0,-1
0.825,0.4,0.7,0.6,0.795,0,-1
0.916,0.6,0.8,0.9,0.885,1,-1
0.875,0.8,0.7,0.4,0.824,0,-1
0.85,0.6,0.5,0.5,0.875,0,-1
0.866,0.6,0.6,0.5,0.839,0,-1
0.958,1,0.9,0.6,0.941,1,1
0.858,0.4,0.4,0.9,0.881,0,-1
0.85,0.6,0.9,0.8,0.87,1,-1
0.908,0.6,0.6,0.6,0.876,0,1
0.925,1,0.9,0.8,0.923,1,1
0.825,0.2,0.2,0.3,0.807,1,-1
0.883,0.4,0.4,0.5,0.82,0,-1
0.8,0.4,0.3,0.4,0.739,0,-1
0.875,0.4,0.3,0.6,0.852,0,-1
0.9,0.8,0.9,1,0.84,0,1
0.816,0.4,0.3,0.5,0.756,1,-1
0.958,0.8,0.9,0.8,0.923,1,1
0.916,0.8,0.7,0.8,0.873,1,1
0.825,0.4,0.5,0.6,0.907,0,-1
0.975,1,1,1,0.989,1,1
1,1,0.9,0.9,0.998,1,1
0.85,0.6,0.7,0.8,0.897,1,1
0.85,0.6,0.7,1,0.839,0,-1
0.883,0.4,0.8,0.7,0.831,0,-1
0.808,0.4,0.6,0.6,0.794,1,-1
0.816,0.2,0.4,0.6,0.809,1,-1
0.975,1,0.8,0.9,0.914,1,1
0.941,0.8,0.8,0.5,0.884,1,1
0.883,0.6,0.7,0.5,0.827,1,1
0.941,0.8,0.9,0.9,0.932,1,1
0.841,0.4,0.5,0.6,0.868,0,-1
0.8,0.2,0.6,0.8,0.762,0,-1
0.908,0.6,0.8,0.6,0.806,1,-1
0.925,0.6,0.6,0.7,0.877,0,-1
0.825,0.8,0.7,0.9,0.88,1,-1
0.833,0.4,0.6,0.7,0.812,1,-1
0.966,1,1,1,0.957,1,1
0.808,0.4,0.4,0.8,0.786,1,-1
0.85,0.6,0.7,0.8,0.908,1,1
0.875,0.4,0.5,0.9,0.818,1,-1
0.925,0.8,0.8,0.9,0.907,1,1
0.941,0.4,0.4,0.5,0.87,1,1
0.95,0.8,0.6,0.4,0.846,0,-1
0.883,0.8,0.8,0.9,0.882,1,1
0.825,0.4,0.5,0.5,0.809,0,-1
0.983,1,0.9,0.7,0.951,1,1
0.85,0.4,0.4,0.5,0.824,0,-1
0.916,0.6,0.8,1,0.87,1,1
0.975,0.8,0.7,0.9,0.953,1,1
0.866,0.4,0.4,0.5,0.832,0,-1
0.966,0.8,0.8,0.9,0.955,1,1
0.85,0.6,0.4,0.6,0.745,0,-1
0.916,0.6,0.7,0.8,0.894,1,1
0.858,0.8,0.8,1,0.849,0,1
0.9,0.6,0.7,0.6,0.866,0,-1
0.916,0.6,0.7,1,0.892,1,1
0.866,0.6,0.7,0.8,0.818,1,-1
0.833,0.2,0.3,0.4,0.796,0,-1
0.933,0.6,0.6,0.7,0.871,0,-1
0.916,0.8,1,0.8,0.921,1,1
0.966,0.8,0.8,0.7,0.93,1,1
0.85,0.6,0.7,0.6,0.856,0,-1
0.841,0.4,0.6,0.8,0.796,0,-1
